BREWERY[0](STRING),Type,WEBSITE[1] (STRING),STREET ADDRESS[2](STRING),CITY[3] (STRING),"STATE
[4]",ZIPCODE[5] (STRING),"PHONE[6]
(String)",DAYS CLOSED[7](String)
Goodwood Brewing Company - Louisville Taproom,Microbrewery,goodwood.beer/venue/goodwood-taproom,636 E Main Street,Louisville,KY,40202,502-584-2739,
Goodwood Brewing Company - Jeffersonville Taproom,Microbrewery,goodwood.beer/venue/jeffersonville-brewhouse-at-coxs-chicken,134 Spring Street,Jeffersonville,IN,47130,812.590.3281,???
Goodwood Brewing Company - Frankfort Taproom,Microbrewery,goodwood.beer/venue/frankfort-taproom,109 West Main Street,Frankfort,KY,40601,502-871-5070,???
Gordon Biersch Brewery Restaurant - Louisville,Brewpub,gordonbiersch.com/locations/louisville,400 S 4th Street,Louisville,KY,40202,502-589-8935,
Gravely Brewing,Microbrewery,gravelybrewing.com,514 Baxter Avenue,Louisville,KY,40204,502-822-3202,
Great Flood Brewing Company,Microbrewery,greatfloodbrewing.com,2120 Bardstown Road,Louisville,KY,40205,502-457-7711,
Gypsy Run Brewery,Brewpub,gypsyrunbreweryky.com,131 N. 4th Street,Danville,KY,40422,606-687-0552,
Henderson Brewing,Brewpub,hendersonbrewco.com,737 2nd Street,Henderson,KY,42420,270-200-4314,MO
Hofbrauhause Newport,Brewpub,hofbrauhausnewport.com,305 Park Avenue,Newport,KY,41071,859-491-7200,
Holsopple Brewing,Taproom,holsopplebrewing.com,"8023 Catherine Lane, Unit 105",Louisville,KY,40222,502-708-1902,
Hopcat - Louisville,Brewpub,hopcat.com/louisville,1064 Bardstown Road,Louisville,KY,40204,502-890-8676,
Hopkinsville Brewing Company,Taproom,hopkinsvillebrewingcompany.com,102 E. 5th Street,Hopkinsville,KY,42240,270-987-3115,SU thru TU
Jarfly Brewing ,Taproom,jarflybrewing.com,103 W. Mount Vernon Street,Somerset,KY,42501,606-425-4962,MO and TU
Lemons Mill Brewery,Taproom,lemonsmillbrewery.com,166 Marimon Avenue,Harrodsburg,KY,40330,859-265-0872,SU-MO and WE
Lexington Brewing and Distilling Company,Regional,lexingtonbrewingco.com,401 Cross Street,Lexington,KY,40508,859-225-8095,SU
Maiden City Brewing Company,Taproom,maidencitybrewing.com,123 E. Pike Street,Cynthiana,KY,41031,859-954-5151,MO thru WE
Mash Cult Brewing,Taproom,facebook.com/mashcultbrewing,6823 Burlington Pike,Florence,KY,41042,859-371-4466,
Maysville Brewing Company,Taproom,facebook.com/maysvillebrewing,8 West 2nd Street,Maysville,KY,41056,606-407-6008,SU and MO
Mile Wide Beer Company,Taproom,milewidebeer.com,636 Barret Avenue,Louisville,KY,40204,502-409-8139,MO
Mirror Twin Brewing,Brewpub,mirrortwinbrewing.com,725 National Avenue,Lexington,KY,40502,618-406-3598,
Monnik Beer Company,Brewpub,monnikbeer.com,1036 E Burnett Avenue,Louisville,KY,40217,502-742-6564,
My Old Kentucky Foam Brewing Company,Taproom,facebook.com/mokyfoam2017,149 E Main Street,Georgetown,KY,40324,502-603-0069,SU
Old Louisville Brewery,Taproom,oldlouisvillebrewery.com,625 W Magnolia Avenue,Louisville,KY,40208,502-365-4886,TU
"Old Louisville Brewery, The Barrel Room",Taproom,oldlouisvillebrewery.com/barrel-room,622 Main Street,Shelbyville,KY,40065,502-437-0420,SU thru WE
Paducah Beer Werks,Brewpub,facebook.com/paducahbeerwerks,301 N 4th Street,Paducah,KY,42001,270-933-1265,
Pivot Brewing,Taproom,pivotbrewingcompany.com,1400 Delaware Avenue,Lexington,KY,40505,859-285-6778,
Rock House Brewing ,Taproom,http://rockhousebrewing.com,119 Luigart Court,Lexington,KY,40508,859-368-7064,
Rooster Brewing,Microbrewery,roosterbrew.com,609 Main Street,Paris,KY,40361,859-707-3436,SU thru WE
Sig Luscher Brewery,Microbrewery,sigluscherbrewery.com,221 Mero Street,Frankfort,KY,40601,502-209-9138,
Tap on Main Brewing,Taproom,taponmainst.com,601A North Main Street,Somerset,KY,42501,606-451-1525,
Versailles Brewing Company,Brewpub,facebook.com/vbcbrewing,"513 Marasilles Road, Suite 8",Versailles,KY,40383,859-256-0169,
West Sixth Brewing,Microbrewery,westsixth.com,501 West Sixth Street,Lexington,KY,40508,859-951-6006,
West Sixth Farm,Microbrewery,westsixth.com/westsixthfarm,4495 Shadrick Ferry Road,Frankfort,KY,40601,859-705-0915,MO thru TH
West Sixth Greenroom,Microbrewery,westsixth.com/the-west-sixth-greenroom,109 West Main Street,Lexington,KY,40507,859-705-0916,SU thru WE
White Squirrel Brewery,Brewpub,whitesquirrelbrewery.com,871 Broadway Avenue,Bowling Green,KY,42101,270-904-1573,MO
Wooden Cask Brewing Company,Taproom,facebook.com/WoodenCask,629 York Street,Newport,KY,41071,859-261-2172,
Yancey's Gastropub & Brewery,Brewpub,yanceysbrewery.com,128 South Public Square,Glasgow,KY,42141,270-590-6625,SU and MO
